"Gene name"	"Log₂FC"	"FDR"	"Coverage Group 1"	"Coverage Group 2"	"Mean Group 1"	"Mean Group 2"
"7SK"	"0.8577539920806885"	"2.3079977154889188e-212"	"0.2855050563812256"	"0.22187675535678864"	"0.14432990550994873"	"0.08220377564430237"
"A1BG"	"0.6891109943389893"	"0"	"0.6202872395515442"	"0.6180488467216492"	"0.31728819012641907"	"0.20831014215946198"
"A1BG-AS1"	"0.3931150436401367"	"4.947191687900153e-38"	"0.2948596775531769"	"0.3424656391143799"	"0.05176728218793869"	"0.03966109827160835"
"A2M"	"1.7422560453414917"	"0"	"0.9424076080322266"	"0.7926754951477051"	"1.9538100957870483"	"1.033186674118042"
"A2M-AS1"	"0.49407291412353516"	"2.1746181626482245e-37"	"0.19947084784507751"	"0.28407835960388184"	"0.03718753159046173"	"0.02654542587697506"
"A4GALT"	"-0.4290170669555664"	"1.1543244205210268e-166"	"0.4757630228996277"	"0.5664407014846802"	"0.15315841138362885"	"0.20116636157035828"
"AAAS"	"-0.6358089447021484"	"0"	"0.4426911175251007"	"0.7237541675567627"	"0.11677587777376175"	"0.17602381110191345"
"AACS"	"-0.5680208206176758"	"2.2409880862898545e-152"	"0.2920721769332886"	"0.5474284887313843"	"0.055551812052726746"	"0.08128995448350906"
"AADAT"	"-0.5515623092651367"	"2.296834605775895e-99"	"0.20617972314357758"	"0.41108110547065735"	"0.03555631637573242"	"0.051692117005586624"
"AAGAB"	"0.1363530158996582"	"5.183958982310877e-13"	"0.4812907576560974"	"0.6056628823280334"	"0.12423883378505707"	"0.11364666372537613"
"AAK1"	"-0.5414814949035645"	"0"	"0.6498157382011414"	"0.864068865776062"	"0.3377613425254822"	"0.460467666387558"
"AAMDC"	"-0.19360172748565674"	"5.441661572336818e-79"	"0.7624964714050293"	"0.8657339215278625"	"0.4177667200565338"	"0.46564438939094543"
"AAMP"	"-0.5538036227226257"	"0"	"0.6650760769844055"	"0.8546052575111389"	"0.3127078115940094"	"0.4310789704322815"
"AAR2"	"-0.16129851341247559"	"1.0890802692724225e-20"	"0.44377776980400085"	"0.6336034536361694"	"0.1024286076426506"	"0.11387951672077179"
"AARD"	"2.606438398361206"	"0"	"0.3742322623729706"	"0.15748339891433716"	"0.09898094832897186"	"0.016940351575613022"
"AARS1"	"-0.050485849380493164"	"0.0004366997415758726"	"0.5720494985580444"	"0.7304229140281677"	"0.1805107742547989"	"0.18637537956237793"
"AARS2"	"-0.6011557579040527"	"9.24985979470153e-123"	"0.22068411111831665"	"0.42793551087379456"	"0.030989613384008408"	"0.04664033278822899"
"AARSD1"	"-0.6599380970001221"	"2.7575323431810697e-291"	"0.3613342046737671"	"0.6135293841362"	"0.0861324891448021"	"0.13288922607898712"
"AASDH"	"-0.06533432006835938"	"0.00005201125751986893"	"0.5572143793106079"	"0.7231765389442444"	"0.16863293945789337"	"0.17579635977745056"
"AASDHPPT"	"-0.5394937992095947"	"0"	"0.635878324508667"	"0.8177787065505981"	"0.23547396063804626"	"0.32635441422462463"
"AASS"	"-1.5562119483947754"	"0"	"0.4311631917953491"	"0.7296668291091919"	"0.1269230842590332"	"0.33502718806266785"
"AATF"	"-1.2628878355026245"	"0"	"0.3583577573299408"	"0.7890480160713196"	"0.11004603654146194"	"0.24620546400547028"
"AATK"	"-1.5990514755249023"	"2.995042500873101e-223"	"0.04322970658540726"	"0.19527839124202728"	"0.007748966105282307"	"0.023292824625968933"
"ABAT"	"-1.2223925590515137"	"0"	"0.16077671945095062"	"0.37961500883102417"	"0.024171099066734314"	"0.05551642179489136"
"ABCA1"	"0.34726274013519287"	"1.839604265572274e-142"	"0.7085892558097839"	"0.7918429374694824"	"0.42873120307922363"	"0.3512144684791565"
"ABCA10"	"-2.0610406398773193"	"0"	"0.21936124563217163"	"0.4513481855392456"	"0.05183245241641998"	"0.20048369467258453"
"ABCA2"	"-0.9259624481201172"	"0"	"0.22474724054336548"	"0.4969077706336975"	"0.036477286368608475"	"0.06820487231016159"
"ABCA3"	"-0.9833827018737793"	"2.1338078961476336e-178"	"0.09491637349128723"	"0.24853459000587463"	"0.017189491540193558"	"0.033704616129398346"
"ABCA5"	"-0.47724008560180664"	"4.185084972224541e-183"	"0.4862042963504791"	"0.642633855342865"	"0.14264503121376038"	"0.19345425069332123"
"ABCA6"	"-1.4941685199737549"	"0"	"0.3790040612220764"	"0.5593811869621277"	"0.10769850015640259"	"0.2778805196285248"
"ABCA7"	"-0.2875480651855469"	"0.0000011768304376607303"	"0.06519890576601028"	"0.12730856239795685"	"0.010854309424757957"	"0.01323260460048914"
"ABCA8"	"-0.49534177780151367"	"3.5540087240459584e-178"	"0.5025039911270142"	"0.68132084608078"	"0.35566413402557373"	"0.4713172912597656"
"ABCA9"	"-2.948350429534912"	"0"	"0.13790985941886902"	"0.46178025007247925"	"0.024534987285733223"	"0.17539726197719574"
"ABCB1"	"0.14954900741577148"	"0.0003651537997639747"	"0.1359727829694748"	"0.12229641526937485"	"0.03274800255894661"	"0.029570570215582848"
"ABCB10"	"0.11588835716247559"	"0.0000027111557720849808"	"0.32665595412254333"	"0.45530691742897034"	"0.07380861788988113"	"0.06830164790153503"
